Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_402132	hCoV-19/Wuhan/HBCDC-HB-01/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang.
EPI_ISL_404227	hCoV-19/Zhejiang/WZ-01/2020	Asia / China / Zhejiang	2020-01-16	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	Yin Chen, Yanjun Zhang, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu
EPI_ISL_404228	hCoV-19/Zhejiang/WZ-02/2020	Asia / China / Zhejiang	2020-01-17	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	Yanjun Zhang, Yin Chen, Haiyan Mao, Junhang Pan, Xiuyu Lou, Yiyu Lu, Juying Yan, Hanping Zhu, Jian Gao, Yan Feng, Yi Sun, Hao Yan, Zhen Li, Yisheng Sun, Liming Gong, Qiong Ge, Wen Shi, Xinying Wang, Wenwu Yao, Zhangnv Yang, Fang Xu, Chen Chen, Enfu Chen, Zhen Wang, Zhiping Chen, Jianmin Jiang, Chonggao Hu
EPI_ISL_402131	hCoV-19/bat/Yunnan/RaTG13/2013	Asia / China / Yunnan / Pu'er	2013-07-24	Wuhan Institute of Virology, Chinese Academy of Sciences	Wuhan Institute of Virology, Chinese Academy of Sciences	Yan Zhu, Ping Yu, Bei Li, Ben Hu, Hao-Rui Si, Xing-Lou Yang, Peng Zhou, Zheng-Li Shi
EPI_ISL_404895	hCoV-19/USA/WA1/2020	North America / USA / Washington / Snohomish County	2020-01-19	Providence Regional Medical Center	Division of Viral Diseases, Centers for Disease Control and Prevention	Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S.
EPI_ISL_407079	hCoV-19/Finland/1/2020	Europe / Finland / Lapland	2020-01-29	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura, Suvi Kuivanen, Hannimari Kallio-Kokko, Olli Vapalahti
EPI_ISL_405839	hCoV-19/Shenzhen/HKU-SZ-005/2020	Asia / China / Guangdong / Shenzhen	2020-01-11	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_406030	hCoV-19/Shenzhen/HKU-SZ-002/2020	Asia / China / Guangdong / Shenzhen	2020-01-10	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y.
EPI_ISL_404253	hCoV-19/USA/IL1/2020	North America / USA / Illinois / Chicago	2020-01-21	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Krista Queen, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_406034	hCoV-19/USA/CA1/2020	North America / USA / California / Los Angeles	2020-01-23	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_406036	hCoV-19/USA/CA2/2020	North America / USA / California / Orange County	2020-01-22	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Anna Uehara, Krista Queen, Ying Tao, Yan Li, Clinton R. Paden, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_406223	hCoV-19/USA/AZ1/2020	North America / USA / Arizona / Phoenix	2020-01-22	Arizona Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Yan Li, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_406531	hCoV-19/Guangdong/20SF174/2020	Asia / China / Guangdong / Zhuhai	2020-01-22	Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Disease Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma
EPI_ISL_406533	hCoV-19/Guangzhou/20SF206/2020	Asia / China / Guangdong / Guangzhou	2020-01-22	Guangdong Provincial Center for Diseases Contorl and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma
EPI_ISL_406534	hCoV-19/Foshan/20SF207/2020	Asia / China / Guangdong / Foshan	2020-01-22	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma
EPI_ISL_406535	hCoV-19/Foshan/20SF210/2020	Asia / China / Guangdong / Foshan	2020-01-22	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma
EPI_ISL_406536	hCoV-19/Foshan/20SF211/2020	Asia / China / Guangdong / Foshan	2020-01-22	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma
EPI_ISL_406538	hCoV-19/Guangdong/20SF201/2020	Asia / China / Guangdong	2020-01-23	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma
EPI_ISL_406592	hCoV-19/Shenzhen/SZTH-001/2020	Asia / China / Guandong / Shenzhen	2020-01-13	Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease,Shenzhen Third People's Hospital	Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu
EPI_ISL_406593	hCoV-19/Shenzhen/SZTH-002/2020	Asia / China / Guandong / Shenzhen	2020-01-13	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu
EPI_ISL_406594	hCoV-19/Shenzhen/SZTH-003/2020	Asia / China / Guandong / Shenzhen	2020-01-16	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Yang Yang, Chenguang Shen, Li Xing, Zhixiang Xu, Haixia Zheng, Yingxia Liu
EPI_ISL_406597	hCoV-19/France/IDF0373/2020	Europe / France / Ile-de-France / Paris	2020-01-23	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure.
EPI_ISL_406596	hCoV-19/France/IDF0372/2020	Europe / France / Ile-de-France / Paris	2020-01-23	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure.
EPI_ISL_406862	hCoV-19/Germany/BavPat1/2020	Europe / Germany / Bavaria / Munich	2020-01-28	Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich	Charité Universitätsmedizin Berlin, Institute of Virology	Victor M Corman, Julia Schneider, Talitha Veith, Barbara Mühlemann, Markus Antwerpen, Christian Drosten, Roman Wölfel
EPI_ISL_406716	hCoV-19/China/WHU01/2020	Asia / China / Hubei / Wuhan	2020-01-02	unknown	State Key Laboratory of Virology, Wuhan University	Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K. and Liu,Y.
EPI_ISL_406717	hCoV-19/China/WHU02/2020	Asia / China / Hubei / Wuhan	2020-01-02	unknown	State Key Laboratory of Virology, Wuhan University	Chen,L., Liu,W., Zhang,Q., Xu,K., Ye,G., Wu,W., Sun,Z., Liu,F., Wu,K., Mei,Y., Zhang,W., Chen,Y., Li,Y., Shi,M., Lan,K. and Liu,Y.
EPI_ISL_406800	hCoV-19/Wuhan/WH03/2020	Asia / China / Hubei / Wuhan	2020-01-01	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu
EPI_ISL_406801	hCoV-19/Wuhan/WH04/2020	Asia / China / Hubei / Wuhan	2020-01-05	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu
EPI_ISL_406960	hCoV-19/Italy/INMI2/2020	Europe / Italy / Rome	2020-01	unknown	Virology Laboratory, INMI L. Spallanzani	Capobianchi,M.R., Lalle,E., Carletti,F., Bordi,L., Marsella,P., Colavita,F., Matusali,G., Nicastri,E., Ippolito,G. and Castilletti,C.
EPI_ISL_406970	hCoV-19/Hangzhou/HZ-1/2020	Asia / China / Zhejiang / Hangzhou	2020-01-20	Hangzhou Center for Disease and Control Microbiology Lab	Hangzhou Center for Disease and Control Microbiology Lab	Yu Hua, Wang Haoqiu, Li Jun, Yu Xinfeng
EPI_ISL_406973	hCoV-19/Singapore/1/2020	Asia / Singapore	2020-01-23	Singapore General Hospital	National Public Health Laboratory	Mak, TM; Octavia S; Chavatte JM; Zhou, ZY; Cui, L; Lin, RTP
EPI_ISL_407073	hCoV-19/England/02/2020	Europe / England	2020-01-29	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Richard Myers, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon.
EPI_ISL_407071	hCoV-19/England/01/2020	Europe / England	2020-01-29	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano, Shahjahan Miah, Richard Myers, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon
EPI_ISL_407214	hCoV-19/USA/WA1-A12/2020	North America / USA / Washington	2020-01-25	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Krista Queen, Azaibi Tamin, Jennifer Harcourt, Ying Tao, Clinton R. Paden, Jing Zhang, Yan Li, Anna Uehara, Xiaoyan Lu, Shifaq Kamili, Rashi Gautam, Haibin Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Natalie Thornburg, Suxiang Tong
EPI_ISL_407313	hCoV-19/Hangzhou/HZCDC0001/2020	Asia / China / Zhejiang / Hangzhou	2020-01-19	Hangzhou Center for Disease Control and Prevention	Hangzhou Center for Disease Control and Prevention	Jun Li, Haoqiu Wang, Hua Yu, Lingfeng Mao, Xinfen Yu, Zhou Sun, Qingxin Kong, Xin Qian, Shuchang Chen, Xuchu Wang
EPI_ISL_407893	hCoV-19/Australia/NSW01/2020	Oceania / Australia / New South Wales / Sydney	2020-01-24	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, O’Sullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group
EPI_ISL_407976	hCoV-19/Belgium/GHB-03021/2020	Europe / Belgium / Leuven	2020-02-03	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	Bert Vanmechelen, Elke Wollants, Annabel Rector, Els Keyaerts, Lies Laenen, Marc Van Ranst, and Piet Maes
EPI_ISL_407988	hCoV-19/Singapore/3/2020	Asia / Singapore	2020-02-01	National Centre for Infectious Diseases	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Linfa Wang, Gavin JD Smith
EPI_ISL_407987	hCoV-19/Singapore/2/2020	Asia / Singapore	2020-01-25	Singapore General Hospital	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Jenny GH Low, Yvonne CF Su, Linfa Wang, Gavin JD Smith
EPI_ISL_408010	hCoV-19/USA/CA5/2020	North America / USA / California	2020-01-29	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Ying Tao, Krista Queen, Jing Zhang, Yan Li, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_408009	hCoV-19/USA/CA4/2020	North America / USA / California	2020-01-29	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention	Krista Queen, Jing Zhang, Yan Li, Ying Tao, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_408068	hCoV-19/Italy/INMI1/2020	Europe / Italy / Rome	2020-01-29	Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS	Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS	Capobianchi,M.R., Carletti,F., Lalle,E., Bordi,L., Marsella,P.,Colavita,F., Matusali,G., Nicastri,E., Ippolito,G. and Castilletti,C.
EPI_ISL_408008	hCoV-19/USA/CA3/2020	North America / USA / California	2020-01-29	California Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen, Jing Zhang, Yan Li, Ying Tao, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong
EPI_ISL_408430	hCoV-19/France/IDF0515/2020	Europe / France / Ile-de-France / Paris	2020-01-29	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert, Marion Barbet, Sylvie Behillil, Méline Bizard, Angela Brisebarre, Flora Donati, Vincent Enouf, Maud Vanpeene, Sylvie van der Werf, Yazdan Yazdanpanah, Xavier Lescure
EPI_ISL_408480	hCoV-19/Yunnan/IVDC-YN-003/2020	Asia / China / Yunnan / Kunming	2020-01-17	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Wenjie Tan，Xiaoqing Fu，Xiang Zhao，Wenling Wang， Peihua Niu，Roujian Lu,Yanhong Sun，Baoying Huang，Li Zhao，Fei Ye，Wenbo Xu，George F. Gao，Guizhen Wu
